Query,Response,Source,Faithfulness,Relevancy
"Who are the authors of the ""JGZ richtlijn Gezonde slaap en slaapproblemen""?","The authors of the ""JGZ richtlijn Gezonde slaap en slaapproblemen"" are Eline Vlasblom, Bregje van Sleuwen, Monique L’Hoir, and Maaike Beltman, all from TNO.

**Authors of the Guideline:**

The guideline ""JGZ richtlijn Gezonde slaap en slaapproblemen"" was authored by a team from TNO, which includes Eline Vlasblom, Bregje van Sleuwen, Monique L’Hoir, and Maaike Beltman. These authors are experts in the field of sleep health and have contributed to the development of this guideline to address sleep problems in youth healthcare.

**Learn More About:**

- What are the key recommendations in the ""JGZ richtlijn Gezonde slaap en slaapproblemen"" for improving sleep health?
- How can parents create a healthy sleep environment for their children according to the guideline?
- What are some common misconceptions about sleep that the guideline addresses?","Titel: JGZ richtlijn Gezonde slaap en slaapproblemen  
 Preventie, signalering, diagnostiek en interventie bij slaapproblemen in de JGZ.  
 Colofon  
 Autorisatie: december 2016 door de AJN, V&VN vakgroep jeugd en NVDA en randvoorwaardelijk door  
 ActiZ en GGD GHOR Nederland  
  
 Publicatiedatum:   
  
 Richtlijnontwikkelaar: TNO  
  
 Auteurs: Eline Vlasblom (TNO), Bregje van Sleuwen (TNO), Monique L’Hoir (TNO) en Maaike Beltman (TNO)  
  
 De ontwikkeling van deze richtlijn is gefinancierd door ZonMw  
  
  
  
   
 1",1.0,1.0
"What is the first subtopic discussed under ""Thema 1. Introductie gezonde slaap""?","I'm sorry, but the provided context does not include ""Thema 1. Introductie gezonde slaap."" It starts with ""Thema 2. Introductie slaapproblemen."" To assist you better, could you please tell me more about the specific aspects of sleep health you are interested in? For example, are you looking for information on sleep duration recommendations for children, or strategies to improve sleep quality?","● Karin Verheijen, jeugd/stafverpleegkundige JGZ Zuid Holland West  
 ● Elly Driessen, afgevaardigde NVDA, doktersassistente bij de GGD Gelderland Zuid.   
 ● Margreet de Ruiter, stafverpleegkundige JGZ (0-19 jaar) GGD Gelderland-Zuid en afgevaardigde V&VN  
 vakgroep Jeugd.  
 ● Betty Bakker-Camu MSc, beleidsmedewerker/ projectleider bij Vitras/GGD Regio Utrecht, Klinisch  
 Gezondheidswetenschapper afstudeerrichting verplegingswetenschap, expert op gebied van slaap en  
 preventie slaapproblemen van jonge kinderen. Buitenpromovendus preventie van slaapproblemen bij  
 jonge kinderen. Tevens vertegenwoordiger V&VN vakgroep Jeugd.   
 ● Prof Frits Boer, emeritus hoogleraar kinder- en jeugdpsychiatrie AMC, specialist  
 ontwikkelingspsychopathologie en slaapproblemen.  
 ● Dr. Hans Hamburger, neuroloog, somnoloog, hoofd van het Amsterdam WaakSlaapCentrum en  
 voorzitter van de Nederlandse vereniging voor Slaap- en Waak Onderzoek (NSWO).   
 ● Dr. Kristiaan van der Heijden, universitair hoofddocent bij Universiteit Leiden, Voorzitter PR-commissie  
 en bestuurslid bij de NSWO.  
 ● Drs. Daniëlle Hendriks, orthopedagoog-generalist en somnoloog, MCH Westeinde, afdeling Centrum  
 voor slaap- en waakstoornissen, afdeling kind.  
 ● Marijke van Noort, lactatiekundige IBCLC, afgevaardigde Nederlandse vereniging lactatiekundigen (NVL).  
 ● Edwin Bos, ouder.  
 Vanuit TNO zijn daar de volgende mensen bij aangesloten:  
 ● Drs. Maaike Beltman, bioloog, onderzoeker/ projectleider en teamcoördinator bij TNO.  
 ● Drs. Eline Vlasblom, onderzoeker, richtlijnontwikkelaar, slaapdeskundige.  
 ● Dr. Bregje van Sleuwen, onderzoeker, richtlijnontwikkelaar, slaapdeskundige. Sinds 2016 werkzaam bij  
 Bernhoven.  
 ● Dr. Monique L’Hoir, onderzoeker, richtlijnontwikkelaar, slaapdeskundige. Sinds 2016 werkzaam bij GGD  
 Noord- en Oost-Gelderland en Wageningen University & Research.  
  
  
 Klankbordgroep  
 ● Dr. Ed de Bruin, Universiteit van Amsterdam, Onderzoeker, ontwikkelde een innovatief programma om  
 jongeren met slaapklachten te behandelen.  
 ● Drs. Zamire Damen-van Beek, huisarts, vertegenwoordiger NHG.   
 ● Dr. Adele Engelberts, vertegenwoordiger NVK, kinderarts ​ Zuyderland Ziekenhuis ​ Sittard-Geleen.  
 ● Dr. Sigrid Pillen, vertegenwoordiger NVK, kinderneuroloog Kempenhaeghe, expertisecentrum  
 epileptologie, slaapgeneeskunde en neurologische leer- en ontwikkelingsstoornissen.  
 ● Lianne Verstraten, stafverpleegkundige GGD Gelderland Midden.  
 ● Marjolein Keij, vertegenwoordiger Pharos, jeugdverpleegkundige.  
 Cliënten participatie  
 Bij de ontwikkeling van de richtlijn is rekening gehouden met het patiënten perspectief. Edwin Bos, ouder, heeft een  
 actieve bijdrage geleverd aan de werkgroep.   
 Daarnaast zijn er twee focusgroepen uitgevoerd.",0.0,1.0
"What is the first topic discussed under ""Thema 7. Samenwerken en doorverwijzen bij slaapproblemen""?","The first topic discussed under ""Thema 7. Samenwerken en doorverwijzen bij slaapproblemen"" is the introduction to the theme, which highlights the role of various healthcare providers and institutions in preventing, identifying, and treating sleep problems and disorders.

**Introduction to Collaboration and Referral for Sleep Problems:**

The initial section of ""Thema 7"" emphasizes the collaborative efforts needed among different healthcare providers and institutions to address sleep issues effectively. It outlines the responsibilities of youth healthcare (JGZ) professionals and other specialists in managing sleep problems. The theme also provides recommendations for coordination and referral to ensure comprehensive care for children with sleep difficulties.

**Learn More About:**

- What are the specific recommendations for referring children with sleep problems to specialists?
- How can healthcare providers coordinate care effectively for families dealing with sleep issues?
- What are some common challenges in managing sleep problems that require a multidisciplinary approach?","Titel: JGZ richtlijn Gezonde slaap en slaapproblemen  
 Preventie, signalering, diagnostiek en interventie bij slaapproblemen in de JGZ.  
 Colofon  
 Autorisatie: december 2016 door de AJN, V&VN vakgroep jeugd en NVDA en randvoorwaardelijk door  
 ActiZ en GGD GHOR Nederland  
  
 Publicatiedatum:   
  
 Richtlijnontwikkelaar: TNO  
  
 Auteurs: Eline Vlasblom (TNO), Bregje van Sleuwen (TNO), Monique L’Hoir (TNO) en Maaike Beltman (TNO)  
  
 De ontwikkeling van deze richtlijn is gefinancierd door ZonMw  
  
  
  
   
 1",1.0,1.0
What does the abbreviation REM stand for in the context of sleep phases?,"The abbreviation REM stands for Rapid Eye Movement. It is a phase of sleep characterized by rapid movements of the eyes and is associated with dreaming.

**Rapid Eye Movement (REM) Sleep:**

REM sleep is one of the phases of sleep that occurs in cycles throughout the night. During REM sleep, the eyes move rapidly in various directions, and this phase is closely linked with dreaming. In babies, REM sleep is known as active sleep, where they may move, make sounds, and breathe irregularly. This phase is crucial for emotional health and memory consolidation.

**Learn More About:**

- What are the different sleep phases and their importance for overall health?
- How does the duration and quality of REM sleep change with age?
- What are some common misconceptions about REM sleep and its role in sleep health?","7. van Litsenburg RR, Waumans RC, van den Berg G, Gemke RJ. Sleep habits and sleep disturbances in  
 dutch children: A population-based study. ​ Eur J Pediatr ​ . 2010;169(8):1009-1015.  
 8. van der Heijden KB, de Sonneville LM, Swaab H. Association of eveningness with problem behavior in  
 children: A mediating role of impaired sleep. ​ Chronobiol Int ​ . 2013;30(7):919-929.  
 9. Owens JA, Belon K, Moss P. Impact of delaying school start time on adolescent sleep, mood, and  
 behavior. ​ Arch Pediatr Adolesc Med ​ . 2010;164(7):608-614.  
 10. Gradisar M, Gardner G, Dohnt H. Recent worldwide sleep patterns and problems during adolescence: A  
 review and meta-analysis of age, region, and sleep. ​ Sleep Med ​ . 2011;12(2):110-118.  
   
 Thema 2. Introductie slaapproblemen  
 Deze introductie beschrijft de definitie van slaapproblemen en slaapstoornissen, de prevalentie en de  
 gevolgen van slaapproblemen.   
 1. Definitie slaapproblemen en slaapstoornissen  
 Deze richtlijn richt zich op de preventie, het adequaat signaleren,  en de behandeling van slaap ​ problemen  
 in de JGZ en tijdige en adequate signalering en verwijzing wanneer er sprake is van een slaap ​ stoornis ​ .  
 Echter, de grens tussen een slaapprobleem en een slaapstoornis is moeilijk scherp te definiëren. Beter is  
 een spectrum voor te stellen waarbij een gezonde, niet problematische slaap en normaal functioneren  
 overdag aan het ene eind van het spectrum te vinden is en slaapstoornissen aan de andere kant van het  
 spectrum. Ergens daartussenin zijn slaapproblemen te plaatsen die, als zij in ernst, frequentie en/of duur  
 toenemen, over kunnen gaan in een slaapstoornis.   
 Een uitgebreide omschrijving van verschillende slaapstoornissen is beschreven in de internationale  
 classificatie van slaapstoornissen (ICSD-3) ​ 1 ​  en in de diagnostische en statistische handleiding van mentale  
 stoornissen (DSM-5) ​ 2 ​ . Voor de JGZ professional is het belangrijk op de hoogte te zijn van de verschillende  
 slaapstoornissen om deze te kunnen herkennen, maar het is niet de taak van de JGZ om deze stoornissen  
 te diagnosticeren. In ​ Thema 5. “Signalering en beoordelen van slaapproblemen” ​   is daarom een overzicht  
 te vinden van de meest voorkomende slaapstoornissen.   
  
 Naast de klinische diagnose van slaap ​ stoornissen ​  worden slaap ​ problemen ​  bij jonge kinderen vaak  
 gedefinieerd aan de hand van de problemen die ouders ervaren met het (niet-)slapen van hun kind. Er  
 worden in de internationale literatuur twee typen slaap ​ problemen ​ onderscheiden; het inslaapassociatie  
 type en het type waarbij ouders moeite hebben met het stellen van grenzen. ​ 3 ​  Bij het inslaapassociatie type  
 heeft het kind bepaalde problematische of veeleisende omstandigheden nodig voordat het in slaap kan  
 vallen. Bij het andere type kan de ouder onvoldoende grenzen stellen als het kind het slapen probeert uit  
 te stellen of naar bed weigert te gaan. In deze definitie van slaap ​ problemen ​ wordt echter geen rekening  
 gehouden met andere slaapproblemen die bij kinderen kunnen voorkomen, zoals nachtmerries, snurken,  
 13",1.0,1.0
What is the duration of a sleep cycle for babies aged 0-6 months?,"The duration of a sleep cycle for babies aged 0-6 months is approximately 50 to 60 minutes.

**Sleep Cycle Duration for Babies Aged 0-6 Months:**

Babies in the age range of 0-6 months have sleep cycles that last around 50 to 60 minutes. These cycles are shorter than those of adults and consist of two main phases: active sleep (equivalent to REM sleep in adults) and quiet sleep. During active sleep, babies may move, make sounds, and breathe irregularly, while during quiet sleep, they are more still and their breathing is regular. Understanding these cycles can help parents manage their baby's sleep patterns more effectively.

**Learn More About:**

- How do sleep cycles change as a baby grows older?
- What are some strategies to help babies establish healthy sleep patterns?
- How can parents differentiate between active and quiet sleep phases in their babies?","Thema 7. Samenwerken en doorverwijzen bij slaapproblemen  
 1. Inleiding op het thema  
 Een groot aantal zorgverleners en instanties heeft een taak bij het voorkomen, signaleren en behandelen  
 van slaapproblemen en stoornissen. Hieronder wordt de taak van de JGZ geschetst en de taak van andere  
 zorgverleners en instanties. Ook worden er aanbevelingen gedaan wat betreft de samenwerking daarin.   
 2. Aanbevelingen  
 - Het verdient aanbeveling kinderen en hun ouders door te verwijzen naar de huisarts, een  
 kinderarts of een andere specialist in het ziekenhuis, of naar een specialist in een slaap-waak  
 centrum indien:  
 I. de oorzaak van het slaapprobleem van medische aard lijkt (zie ​ Thema 5.)  
 II. de oorzaak van het slaapprobleem onduidelijk is, na een gedegen anamnese (zie ​ Bijlage 1.)  
 III. een gedragsmatige aanpak (zie ​ Thema 6.) ​  door de JGZ professional niet effectief is  
 IV. er sprake is van complexe problematiek waarbij de behandeling door meerdere  
 specialisten (zoals pedagoog, GZ-psycholoog, psychiater) gewenst is, bijvoorbeeld als er sprake is van  
 een ontwikkelingsstoornis, leerstoornis, gedragsprobleem, of medische/psychiatrische aandoeningen  
 of psycho-sociale problematiek bij ouders.  
 - Het verdient aanbeveling in een gezin met een kind met slaapproblemen, waar meer zorgverleners  
 betrokken zijn, de coördinatie in handen te geven van één professional (bijv. vanuit de JGZ,  een  
 VTO-Vroeghulp team, de huisarts, een Centrum voor Jeugd en Gezin of vanuit een sociaal wijkteam indien  
 dat de aangewezen weg is), om langs elkaar heen werken te voorkomen, en daar afspraken over vast te  
 leggen.   
 - Het verdient aanbeveling contact te houden met het gezin ook nadat ondersteuning op gang  
 gekomen of afgerond is, en af te spreken wie dit met welke frequentie gaat doen.  
 - Het verdient aanbeveling dat JGZ organisaties op de hoogte zijn van welke deskundigen er op het  
 gebied van slaap werkzaam zijn in de regio, zoals somnologen, pedagogen, psychologen, fysiotherapeuten,  
 slaapoefentherapeuten, kinderartsen en kinderpsychiaters met als aandachtsgebied slaapproblemen.   
 -  Het verdient aanbeveling dat JGZ organisaties afspraken maken met een slaap-waakcentrum.  
 Slaap-waakcentra kunnen telefonisch beschikbaar zijn voor JGZ professionals met vragen over  
 behandeling van slaapproblemen, bijvoorbeeld d.m.v. een telefonisch spreekuur.   
 3. Uitgangsvraag/vragen die hebben geleid tot de onderbouwing en aanbevelingen   
 ● JGZ-werkers weten niet naar welke discipline zij in welke situatie moeten verwijzen.  
 ● In welke situatie moeten JGZ-werkers naar wie verwijzen en welke interventies zijn daar  
 beschikbaar?  
 ● Wie kunnen JGZ-werkers in welke situatie consulteren om te overleggen over een kind?  
  
 74",1.0,1.0
What percentage of sleep does a three-year-old child spend in REM sleep?,"A three-year-old child spends approximately 30% of their sleep in REM (Rapid Eye Movement) sleep.

**REM Sleep Percentage for a Three-Year-Old:**

At the age of three, children spend about 30% of their total sleep time in the REM sleep phase. This is a higher percentage compared to adults, who spend around 20% of their sleep in REM. REM sleep is crucial for cognitive development, emotional regulation, and memory consolidation. As children grow older, the percentage of REM sleep gradually decreases.

**Learn More About:**

- How does the percentage of REM sleep change as a child grows older?
- What are the benefits of REM sleep for a child's development?
- Are there any common sleep issues in three-year-olds that parents should be aware of?","Thema 5. Signalering en beoordeling van slaapproblemen   
 1. Inleiding op het thema  
 De JGZ heeft een belangrijke rol bij het signaleren van kinderen met slaapproblemen en hun ouders.  Het  
 stellen van de diagnose van een slaapstoornis is niet de taak van de JGZ, wel is het belangrijk om kinderen  
 bij een vermoeden van een slaapstoornis door te verwijzen (zie ​ Thema ​ 7). Daarnaast is het de taak van de  
 JGZ bij slaapproblemen zelf interventies in te zetten (zie ​ Thema 6 ​ ). Aangezien slaapproblemen bij bepaalde  
 kinderen vaker voorkomen, is het voor de JGZ van belang op de hoogte te zijn van de risicofactoren ( ​ zie  
 Thema 3 ​ .). In dit hoofdstuk wordt besproken hoe de JGZ slaapproblemen kan signaleren, en kan  
 beoordelen of verwijzing noodzakelijk is of dat begeleiding door de JGZ kan gebeuren.  
 2. Aanbevelingen  
 ● Op ieder contactmoment komt slaap ter sprake. Daarbij kan veelal een oriënterende vraag  
 volstaan, zoals ‘Heeft u zorgen over het slapen (van uw kind)?’ Wanneer ouders of jongeren zelf op  
 overtuigende wijze laten blijken zulke problemen niet te ervaren en noch uw observatie van het  
 kind, noch informatie van derden hiermee in tegenspraak is, kan van verdere exploratie worden  
 afgezien. Bij de signalering van slaapproblemen en slaapstoornissen zijn de zorgen van ouders  
 en/of jeugdigen zelf leidend.   
 ● Als ouders of de jongere zelf zorgen hebben over het slapen (van hun kind) volgt eerst een  
 oriënterend gesprek en wordt met ouders overlegd of een vervolgafspraak met een brede  
 anamnese wenselijk is.  
 ● De anamnese van de JGZ richt zich vervolgens op de aard, ernst en de frequentie van de  
 slaapproblemen en de gevolgen ervan, de perceptie van de beide ouders en de jeugdige over het  
 slaapprobleem en op de slaap die de ouders zelf krijgen (zie ​ Bijlage 1. voor een uitgebreide  
 anamnese ​ ). Indien de JGZ professional inschat dat ouders en jongeren daartoe in staat zijn  
 (bijvoorbeeld niet bij ouders en jongeren met lage gezondheidsvaardigheden), kan aan ouders of  
 jongeren zelf gevraagd worden een vragenlijst in te vullen (zie Bijlage 2. Bij het inventariseren van  
 slaapproblemen kan ook een slaapdagboek ​ (zie Bijlage 3 ​ ), zowel professionals als ouders inzicht in  
 het slaapprobleem bieden.   
 ● Een medische oorzaak voor een slaapprobleem moet door een jeugdarts of verpleegkundig  
 specialist onderzocht worden. Hierbij worden keel, neus, oren, ademhaling, huid en mond  
 onderzocht.  
 ● Indien er na gedegen anamnese, lichamelijk en psychosociaal onderzoek geen aanwijzingen zijn  
 voor onderliggende pathologie, wordt, na overleg met en goedkeuring van ouder of jongere,  
 gestart met een interventie (zie ​ Thema 6.) ​  of wordt, indien nodig, doorverwezen (zie Tabel 2. en  
 Thema 7.).  
 ● Bij vermoeden van een medische oorzaak worden de specifieke richtlijnen gevolgd en zo nodig  
 doorverwezen (zie Tabel 1.).  
 ● Problemen met slaap, met name slaperigheid en vermoeidheid overdag of concentratieproblemen  
 kunnen ook op school of bij het kinderdagverblijf gesignaleerd worden.",1.0,1.0
What is the primary function of the nucleus suprachiasmaticus in the human brain?,"The primary function of the nucleus suprachiasmaticus (SCN) in the human brain is to regulate the body's circadian rhythms, which control the sleep-wake cycle and various physiological processes.

**Regulating Circadian Rhythms:**

The nucleus suprachiasmaticus, located in the hypothalamus, acts as the body's master biological clock. It synchronizes the body's internal rhythms with the external light-dark cycle, ensuring that processes like sleep, hormone release, and body temperature are aligned with the 24-hour day. The SCN receives light signals from the eyes through the retinohypothalamic tract, which helps it adjust the body's rhythms to the environment. This regulation is crucial for maintaining healthy sleep patterns and overall well-being.

**Learn More About:**

- How does light exposure affect the functioning of the nucleus suprachiasmaticus?
- What are the consequences of a disrupted circadian rhythm on sleep and health?
- Are there any lifestyle changes that can support the proper functioning of the nucleus suprachiasmaticus?","beweegt het kind nauwelijks. De ademhaling is rustig en regelmatig. Baby’s in stille slaap worden minder  
 snel wakker door geluid en andere omgevingsfactoren. Na afloop van de stille slaap, wat tevens het einde  
 is van de slaapcyclus, wordt een baby wakker, of beginnen zij de slaapcyclus weer opnieuw. De  
 slaap-waakcyclus van een pasgeborene kent geen dag- en nachtritme, maar is ongeveer gelijk verdeeld  
 over 24 uur (zie Figuur 2.).  
 Slaap bij jonge kinderen (6 maanden - 4 jaar)  
 Naarmate baby’s ouder worden, gaat de stille slaap steeds meer over in de non-REM slaap. Dit begint op  
 de leeftijd van 6 maanden. In de loop van het eerste levensjaar komt een dag- en nachtritme geleidelijk op  
 gang. Deze verschuiving wordt vooral veroorzaakt door de rijping van de hersenen, maar in de loop van de  
 maanden gaan omgevingsfactoren ook een rol spelen. Daarnaast wordt een slaapcyclus steeds langer en  
 brengen kinderen relatief minder tijd door in de actieve slaap of REM slaap. In vergelijking met  
 volwassenen brengen jonge kinderen veel meer tijd door in de REM slaap. Bij baby’s bestaat de slaap nog  
 voor ongeveer de helft uit de actieve (REM) slaap, bij driejarigen is dit nog ongeveer 30%, terwijl bij  
 volwassenen slechts ongeveer 20% van de slaap uit REM slaap bestaat.   
 Slaap bij kinderen (4 -12 jaar)  
 Op de leeftijd van vier jaar duurt een slaapcyclus ongeveer 90-100 minuten. Op de leeftijd van 5 jaar loopt  
 het percentage REM slaap terug naar ongeveer 18,5%.  
 Slaap bij adolescenten (vanaf 12 jaar)  
 Het percentage REM slaap blijft min of meer hetzelfde (18,5%) tot in de adolescentie. Dan neemt het  
 percentage REM slaap weer toe naar ongeveer 22%. Vervolgens neemt de REM slaap in de volwassen  
 leeftijd weer iets af naar 20% en bij ouderen (70+) zelfs naar een percentage van 14%.  
  
  
 Figuur 2 ​ Ontwikkeling van een dag-nachtritme op verschillende leeftijden (bron: Verhulst, 2005). De lijn staat voor de                  
 verschillende slaap- en waakperiodes gedurende 24 uur: Onder het zwarte vlak is men in slaap, boven het zwarte vlak is men                      
 wakker. De kleine schommelingen in de lijn symboliseren de verschillende slaapfases (afwisselend diepe en oppervlakkige slaap)                 
 en waakfases (afwisselend periodes van alertheid en van verminderde concentratie).  
 7",1.0,1.0
"Which hormone is responsible for making you feel awake and active, and is at its highest level in the morning?","The hormone responsible for making you feel awake and active, and is at its highest level in the morning, is cortisol.

**Cortisol: The Morning Hormone:**

Cortisol, often referred to as the ""stress hormone,"" plays a crucial role in regulating your sleep-wake cycle. Its levels peak in the morning, helping you feel alert and ready to start the day. Throughout the day, cortisol levels gradually decrease, reaching their lowest point at night to prepare your body for sleep. This fluctuation is essential for maintaining a healthy circadian rhythm and overall sleep health.

**Learn More About:**

- How does cortisol interact with other hormones to regulate sleep?
- What are the effects of elevated cortisol levels on sleep quality?
- Are there any lifestyle habits that can help manage cortisol levels for better sleep?","Figuur 1. ​  Voorbeeld van de opbouw van de slaapstadia en cycli gedurende een nacht.   
 Slaap bij baby’s (0-6 maanden)   
 Baby’s hebben twee slaapfasen in een slaapcyclus: actieve slaap en stille slaap, en zij doorlopen kortere                 
 slaapcycli dan volwassenen. Tijdens de eerste zes maanden duurt een slaapcyclus zo’n 50 tot 60 minuten.                 
 Eerst hebben baby’s de actieve slaap, dit is het equivalent van de REM slaap bij volwassenen. In deze                   
 slaapfase kunnen baby’s bewegen, lachen of zelfs geluidjes maken en ademen zij snel en onregelmatig.                
 Snelle oogbewegingen treden regelmatig op. In dit stadium slapen baby’s vrij oppervlakkig, en zij komen                
 tijdens deze actieve slaap wat meer aan de ‘oppervlakte’ dan volwassenen (ogen gaan soms half open,                 
 kind beweegt of maakt geluid). Kinderen kunnen in de actieve fase soms bijna wakker lijken. Hierdoor kan                  
 het voor ouders soms lastig zijn om te herkennen of een kind al uitgeslapen is of nog verder zal slapen.   
 Ongeveer halverwege de slaapcyclus gaat de actieve slaap over in de stille slaap. Tijdens de stille slaap  
 6",1.0,1.0
What is the approximate duration of the Basic Rest-Activity Cycle (BRAC) in humans?,"The approximate duration of the Basic Rest-Activity Cycle (BRAC) in humans is about 1.5 hours.

**Duration of the Basic Rest-Activity Cycle:**

The Basic Rest-Activity Cycle, also known as the ultradian rhythm, has a cycle of approximately 1.5 hours. This cycle influences both nighttime sleep patterns and daytime alertness. During sleep, the BRAC determines the alternation between deep and active (REM) sleep phases. During the day, it affects periods of high concentration and productivity, followed by periods of lower alertness. Understanding this cycle can help in planning activities and rest periods to optimize productivity and overall well-being.

**Learn More About:**

- How does the BRAC influence daytime energy levels and productivity?
- What are some strategies to work with the BRAC for better sleep and daily performance?
- Are there any common disruptions to the BRAC that can affect sleep quality?","Figuur 1. ​  Voorbeeld van de opbouw van de slaapstadia en cycli gedurende een nacht.   
 Slaap bij baby’s (0-6 maanden)   
 Baby’s hebben twee slaapfasen in een slaapcyclus: actieve slaap en stille slaap, en zij doorlopen kortere                 
 slaapcycli dan volwassenen. Tijdens de eerste zes maanden duurt een slaapcyclus zo’n 50 tot 60 minuten.                 
 Eerst hebben baby’s de actieve slaap, dit is het equivalent van de REM slaap bij volwassenen. In deze                   
 slaapfase kunnen baby’s bewegen, lachen of zelfs geluidjes maken en ademen zij snel en onregelmatig.                
 Snelle oogbewegingen treden regelmatig op. In dit stadium slapen baby’s vrij oppervlakkig, en zij komen                
 tijdens deze actieve slaap wat meer aan de ‘oppervlakte’ dan volwassenen (ogen gaan soms half open,                 
 kind beweegt of maakt geluid). Kinderen kunnen in de actieve fase soms bijna wakker lijken. Hierdoor kan                  
 het voor ouders soms lastig zijn om te herkennen of een kind al uitgeslapen is of nog verder zal slapen.   
 Ongeveer halverwege de slaapcyclus gaat de actieve slaap over in de stille slaap. Tijdens de stille slaap  
 6",1.0,1.0
What are the signs that a child might not be getting enough sleep?,"There are several signs that a child might not be getting enough sleep. These can include:

**Signs of Insufficient Sleep in Children:**

- **Difficulty Waking Up:** If a child has trouble waking up in the morning and feels groggy, it may indicate they are not getting enough restful sleep.
- **Daytime Sleepiness:** Excessive yawning, rubbing eyes, or needing naps during the day can be signs of sleep deprivation.
- **Irritability and Mood Swings:** Children who are not getting enough sleep may be more irritable, emotional, or prone to mood swings.
- **Difficulty Concentrating:** Lack of sleep can affect a child's ability to focus and concentrate on tasks, leading to poorer school performance.
- **Hyperactivity:** Paradoxically, some children may become more hyperactive when they are tired, which can sometimes be mistaken for attention deficit hyperactivity disorder (ADHD).
- **Frequent Illness:** Chronic sleep deprivation can weaken the immune system, making children more susceptible to infections and illnesses.

**Learn More About:**

- How can parents establish a bedtime routine to improve their child's sleep?
- What are the recommended sleep durations for different age groups?
- Are there any common sleep disorders in children that parents should be aware of?","Figuur 4 ​ . ​ Cross-sectionele gemiddelde slaaptijden van Nederlandse kinderen tijdens de nacht, tijdens  
 weekdagen, verdeeld in percentielen (nog niet gepubliceerde data van Van der Heijden).   
 a) Baby’s (0-6 maanden)  
 Het leven van een pasgeboren baby bestaat voor een groot deel uit slapen. Een pasgeboren baby slaapt                  
 veel overdag en ’s-nachts. Gemiddeld zo’n 14 uur per 24 uur (zie Tabel 1.). ​ 5 Doordat een pasgeboren baby                   
 vaak voeding nodig heeft, slaapt een baby niet lang achter elkaar door. Overdag slaapt een baby meestal                  
 2,5 tot 4 uur achter elkaar. Naarmate baby’s ouder worden, worden de slaapperioden steeds langer. Vanaf                 
 ongeveer 10-12 weken begint een dag- en nachtpatroon te ontstaan. ​ 3 Vooral de slaap in de avond en                  
 nacht wordt langer en dieper. Ongeveer 7 van de 10 baby’s slapen ’s nachts door als ze 6 maanden oud zijn                      
 (doorslapen is minimaal 5 uur achter elkaar slapen). ​ 6 De baby slaapt ongeveer 3 tot 5 slaapcycli achter                  
 elkaar per slaapperiode.  
 b) Peuters/kleuters (6 maanden tot 4 jaar)  
 Hoe ouder kinderen worden, hoe minder slaap ze nodig hebben (zie Tabel 1. En Figuur 4.). Dit verandert  
 van ongeveer 14 uur per dag als ze pas geboren zijn, naar ongeveer 10 uur op de leeftijd van 6 jaar.  
 Langzaam aan leren kinderen ’s nachts doorslapen, gemiddeld vanaf 6 maanden. Kinderen van 1 jaar oud  
 slapen ongeveer 8-9 uur aaneengesloten door. Een peuter/kleuter slaapt in de nacht ongeveer 10-12 uur.  
 Sommige kinderen van 4 jaar oud die naar school gaan hebben nog behoefte aan slaap overdag. Uit  
 gegevens van Zwitserse kinderen blijkt dat ongeveer één op de drie kinderen van 4 jaar oud behoefte heeft  
 aan slaap overdag. ​ 4  
 c) Kinderen (4 jaar-12 jaar)  
 Uit Nederlands onderzoek bij kinderen van 2-14 jaar blijkt dat kinderen in Nederland gemiddeld om 8 uur  
 naar bed gaan, en gemiddeld om 7 uur opstaan. ​ 7 ​  Hoe ouder de kinderen worden, hoe later zij naar bed  
 gaan en hoe later zij opstaan. De gemiddelde totale slaapduur neemt af met de leeftijd. Het gemiddeld  
 11",1.0,1.0
